"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to verify PUT /api/v1/Books/{id} when path ID doesn't match body ID should return 400","418","Verify updating book with mismatched ID","Bookstore API Test Suite","Sun Oct 26 18:06:16 UTC 2025","failed","Sun Oct 26 18:06:16 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testUpdateBook_MismatchedId"
"Test to verify POST /api/v1/Authors creates a new author and returns 200 status","463","Verify that a new author can be created successfully","Bookstore API Test Suite","Sun Oct 26 18:06:20 UTC 2025","passed","Sun Oct 26 18:06:20 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_ValidData_Success"
"Test to verify POST /api/v1/Books with zero page count","420","Verify creating book with zero page count","Bookstore API Test Suite","Sun Oct 26 18:06:13 UTC 2025","passed","Sun Oct 26 18:06:14 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_ZeroPageCount"
"Test to verify GET /api/v1/Authors responds within acceptable time","524","Verify response time for getting all authors","Bookstore API Test Suite","Sun Oct 26 18:06:28 UTC 2025","passed","Sun Oct 26 18:06:28 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAllAuthors_ResponseTime"
"Test to verify GET /api/v1/Books/{id} with negative ID","685","Verify handling of invalid book ID (negative)","Bookstore API Test Suite","Sun Oct 26 18:06:09 UTC 2025","passed","Sun Oct 26 18:06:10 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_NegativeId"
"Test to verify PUT /api/v1/Books/{id} updates the book details","929","Verify that an existing book can be updated","Bookstore API Test Suite","Sun Oct 26 18:06:06 UTC 2025","passed","Sun Oct 26 18:06:07 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testUpdateBook_ValidData_Success"
"Test to verify GET /api/v1/Books responds within acceptable time","765","Verify response time for getting all books","Bookstore API Test Suite","Sun Oct 26 18:06:17 UTC 2025","passed","Sun Oct 26 18:06:18 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetAllBooks_ResponseTime"
"Test to verify POST /api/v1/Books with empty string description (optional field)","434","Verify creating book with empty string description","Bookstore API Test Suite","Sun Oct 26 18:06:11 UTC 2025","passed","Sun Oct 26 18:06:12 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_EmptyStringDescription"
"Test to verify POST /api/v1/Books with null publishDate should return 400","413","Verify creating book with null publishDate","Bookstore API Test Suite","Sun Oct 26 18:06:13 UTC 2025","passed","Sun Oct 26 18:06:13 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_NullPublishDate"
"Test creating author with special characters in first and last name","409","Verify creating author with special characters in name","Bookstore API Test Suite","Sun Oct 26 18:06:26 UTC 2025","passed","Sun Oct 26 18:06:26 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_SpecialCharactersInName"
"Test boundary condition with very long first name (500 characters)","417","Verify creating author with very long first name","Bookstore API Test Suite","Sun Oct 26 18:06:25 UTC 2025","passed","Sun Oct 26 18:06:25 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_VeryLongFirstName"
"Test to verify GET /api/v1/Authors/{id} with non-existent ID returns 404","461","Verify handling of non-existent author ID","Bookstore API Test Suite","Sun Oct 26 18:06:22 UTC 2025","passed","Sun Oct 26 18:06:23 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAuthorById_NonExistentId"
"Test boundary condition with maximum integer value for IDs","407","Verify creating author with maximum integer values","Bookstore API Test Suite","Sun Oct 26 18:06:31 UTC 2025","passed","Sun Oct 26 18:06:31 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_MaxIntegerValues"
"Test to verify POST /api/v1/Authors with zero idBook should return 400","408","Verify creating author with zero book ID","Bookstore API Test Suite","Sun Oct 26 18:06:29 UTC 2025","failed","Sun Oct 26 18:06:30 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_ZeroBookId"
"Test to verify PUT /api/v1/Authors/{id} with non-existent ID should return 404","416","Verify updating non-existent author","Bookstore API Test Suite","Sun Oct 26 18:06:26 UTC 2025","failed","Sun Oct 26 18:06:27 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testUpdateAuthor_NonExistentId"
"Test to verify POST /api/v1/Books with duplicate ID should return 409 or 400","836","Verify creating book with duplicate ID","Bookstore API Test Suite","Sun Oct 26 18:06:14 UTC 2025","failed","Sun Oct 26 18:06:15 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_DuplicateId"
"Test to verify GET /api/v1/Authors returns list of authors with 200 status code","725","Verify that all authors can be retrieved successfully","Bookstore API Test Suite","Sun Oct 26 18:06:19 UTC 2025","passed","Sun Oct 26 18:06:19 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAllAuthors_Success"
"Test boundary condition with very long title (1000 characters)","437","Verify creating book with very long title","Bookstore API Test Suite","Sun Oct 26 18:06:15 UTC 2025","passed","Sun Oct 26 18:06:16 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_VeryLongTitle"
"Test to verify POST /api/v1/Authors with empty first name should return 400","412","Verify creating author with empty first name","Bookstore API Test Suite","Sun Oct 26 18:06:24 UTC 2025","failed","Sun Oct 26 18:06:24 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_EmptyFirstName"
"Test to verify DELETE /api/v1/Authors/{id} with negative ID should return 404","410","Verify deleting author with negative ID","Bookstore API Test Suite","Sun Oct 26 18:06:27 UTC 2025","failed","Sun Oct 26 18:06:28 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testDeleteAuthor_NegativeId"
"Test to verify DELETE /api/v1/Authors/{id} with non-existent ID should return 404","408","Verify deleting non-existent author","Bookstore API Test Suite","Sun Oct 26 18:06:27 UTC 2025","failed","Sun Oct 26 18:06:27 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testDeleteAuthor_NonExistentId"
"Test to verify POST /api/v1/Books with negative page count should return 400","425","Verify creating book with negative page count","Bookstore API Test Suite","Sun Oct 26 18:06:13 UTC 2025","failed","Sun Oct 26 18:06:13 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_NegativePageCount"
"Test to verify PUT /api/v1/Authors/{id} when path ID doesn't match body ID should return 400","413","Verify updating author with mismatched ID","Bookstore API Test Suite","Sun Oct 26 18:06:27 UTC 2025","failed","Sun Oct 26 18:06:27 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testUpdateAuthor_MismatchedId"
"Test to verify PUT /api/v1/Books/{id} with non-existent ID should return 404","422","Verify updating non-existent book","Bookstore API Test Suite","Sun Oct 26 18:06:16 UTC 2025","failed","Sun Oct 26 18:06:16 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testUpdateBook_NonExistentId"
"Test to verify DELETE /api/v1/Books/{id} with non-existent ID should return 404","422","Verify deleting non-existent book","Bookstore API Test Suite","Sun Oct 26 18:06:16 UTC 2025","failed","Sun Oct 26 18:06:17 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testDeleteBook_NonExistentId"
"Test to verify POST /api/v1/Authors with null last name should return 400","416","Verify creating author with null last name","Bookstore API Test Suite","Sun Oct 26 18:06:24 UTC 2025","failed","Sun Oct 26 18:06:25 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_NullLastName"
"Test to verify GET /api/v1/Authors/{id} with negative ID returns 404","409","Verify handling of invalid author ID (negative)","Bookstore API Test Suite","Sun Oct 26 18:06:23 UTC 2025","passed","Sun Oct 26 18:06:23 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAuthorById_NegativeId"
"Test to verify GET /api/v1/Books returns list of books with 200 status code","2540","Verify that all books can be retrieved successfully","Bookstore API Test Suite","Sun Oct 26 18:06:01 UTC 2025","passed","Sun Oct 26 18:06:04 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetAllBooks_Success"
"Test to verify PUT /api/v1/Authors/{id} updates the author details","906","Verify that an existing author can be updated successfully","Bookstore API Test Suite","Sun Oct 26 18:06:20 UTC 2025","passed","Sun Oct 26 18:06:21 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testUpdateAuthor_ValidData_Success"
"Test to verify POST /api/v1/Books creates a new book and returns 200 status","622","Verify that a new book can be created successfully","Bookstore API Test Suite","Sun Oct 26 18:06:05 UTC 2025","passed","Sun Oct 26 18:06:06 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_ValidData_Success"
"Test boundary condition with very long last name (500 characters)","417","Verify creating author with very long last name","Bookstore API Test Suite","Sun Oct 26 18:06:25 UTC 2025","passed","Sun Oct 26 18:06:26 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_VeryLongLastName"
