"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test to verify PUT /api/v1/Authors/{id} with non-existent ID should return 404","599","Verify updating non-existent author","Bookstore API Test Suite","Sun Oct 26 17:45:51 UTC 2025","failed","Sun Oct 26 17:45:51 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testUpdateAuthor_NonExistentId"
"Test to verify POST /api/v1/Authors with empty first name should return 400","619","Verify creating author with empty first name","Bookstore API Test Suite","Sun Oct 26 17:45:47 UTC 2025","failed","Sun Oct 26 17:45:48 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_EmptyFirstName"
"Test to verify PUT /api/v1/Books/{id} with non-existent ID should return 404","621","Verify updating non-existent book","Bookstore API Test Suite","Sun Oct 26 17:45:36 UTC 2025","failed","Sun Oct 26 17:45:36 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testUpdateBook_NonExistentId"
"Test to verify GET /api/v1/Books/{id} with negative ID","823","Verify handling of invalid book ID (negative)","Bookstore API Test Suite","Sun Oct 26 17:45:26 UTC 2025","passed","Sun Oct 26 17:45:26 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_NegativeId"
"Test to verify PUT /api/v1/Authors/{id} updates the author details","1281","Verify that an existing author can be updated successfully","Bookstore API Test Suite","Sun Oct 26 17:45:42 UTC 2025","passed","Sun Oct 26 17:45:43 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testUpdateAuthor_ValidData_Success"
"Test to verify DELETE /api/v1/Authors/{id} with non-existent ID should return 404","610","Verify deleting non-existent author","Bookstore API Test Suite","Sun Oct 26 17:45:52 UTC 2025","failed","Sun Oct 26 17:45:53 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testDeleteAuthor_NonExistentId"
"Test to verify POST /api/v1/Authors with negative book ID should return 400","609","Verify creating author with negative book ID","Bookstore API Test Suite","Sun Oct 26 17:45:48 UTC 2025","failed","Sun Oct 26 17:45:49 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_NegativeBookId"
"Test to verify POST /api/v1/Books with null description (field omitted from JSON)","630","Verify creating book with null/missing description","Bookstore API Test Suite","Sun Oct 26 17:45:28 UTC 2025","passed","Sun Oct 26 17:45:29 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_NullDescription"
"Test to verify POST /api/v1/Books with empty string title should return 400","623","Verify creating book with empty string title","Bookstore API Test Suite","Sun Oct 26 17:45:28 UTC 2025","failed","Sun Oct 26 17:45:28 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_EmptyStringTitle"
"Test to verify POST /api/v1/Books with empty string description (optional field)","627","Verify creating book with empty string description","Bookstore API Test Suite","Sun Oct 26 17:45:29 UTC 2025","passed","Sun Oct 26 17:45:30 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_EmptyStringDescription"
"Test to verify POST /api/v1/Authors with duplicate ID should return 409 or 400","1252","Verify creating author with duplicate ID","Bookstore API Test Suite","Sun Oct 26 17:45:56 UTC 2025","failed","Sun Oct 26 17:45:57 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_DuplicateId"
"Test to verify GET /api/v1/Authors/{id} returns the correct author details","659","Verify that a specific author can be retrieved by valid ID","Bookstore API Test Suite","Sun Oct 26 17:45:41 UTC 2025","passed","Sun Oct 26 17:45:41 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAuthorById_ValidId_Success"
"Test to verify DELETE /api/v1/Books/{id} with negative ID should return 404","596","Verify deleting book with negative ID","Bookstore API Test Suite","Sun Oct 26 17:45:37 UTC 2025","failed","Sun Oct 26 17:45:38 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testDeleteBook_NegativeId"
"Test to verify POST /api/v1/Books with empty string publishDate should return 400","618","Verify creating book with invalid publishDate","Bookstore API Test Suite","Sun Oct 26 17:45:30 UTC 2025","passed","Sun Oct 26 17:45:31 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_InvalidPublishDate"
"Test to verify POST /api/v1/Authors with zero idBook should return 400","607","Verify creating author with zero book ID","Bookstore API Test Suite","Sun Oct 26 17:45:55 UTC 2025","failed","Sun Oct 26 17:45:56 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_ZeroBookId"
"Test creating author with special characters in first and last name","609","Verify creating author with special characters in name","Bookstore API Test Suite","Sun Oct 26 17:45:50 UTC 2025","passed","Sun Oct 26 17:45:51 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_SpecialCharactersInName"
"Test to verify GET /api/v1/Books responds within acceptable time","1173","Verify response time for getting all books","Bookstore API Test Suite","Sun Oct 26 17:45:38 UTC 2025","passed","Sun Oct 26 17:45:39 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetAllBooks_ResponseTime"
"Test to verify POST /api/v1/Books with empty string excerpt (optional field)","624","Verify creating book with empty string excerpt","Bookstore API Test Suite","Sun Oct 26 17:45:30 UTC 2025","passed","Sun Oct 26 17:45:30 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_EmptyStringExcerpt"
"Test to verify author object has all required fields with correct data types","2187","Verify author data structure integrity","Bookstore API Test Suite","Sun Oct 26 17:45:57 UTC 2025","passed","Sun Oct 26 17:45:59 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAuthorById_DataStructureValidation"
"Test boundary condition with very long first name (500 characters)","606","Verify creating author with very long first name","Bookstore API Test Suite","Sun Oct 26 17:45:49 UTC 2025","passed","Sun Oct 26 17:45:49 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_VeryLongFirstName"
"Test boundary condition with maximum integer value for IDs","611","Verify creating author with maximum integer values","Bookstore API Test Suite","Sun Oct 26 17:45:59 UTC 2025","passed","Sun Oct 26 17:46:00 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testCreateAuthor_MaxIntegerValues"
"Test to verify PUT /api/v1/Books/{id} updates the book details","1303","Verify that an existing book can be updated","Bookstore API Test Suite","Sun Oct 26 17:45:21 UTC 2025","passed","Sun Oct 26 17:45:23 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testUpdateBook_ValidData_Success"
"Test to verify GET /api/v1/Books/{id} returns the correct book details","1861","Verify that a specific book can be retrieved by valid ID","Bookstore API Test Suite","Sun Oct 26 17:45:19 UTC 2025","passed","Sun Oct 26 17:45:21 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_ValidId_Success"
"Test to verify GET /api/v1/Authors/{id} with non-existent ID returns 404","623","Verify handling of non-existent author ID","Bookstore API Test Suite","Sun Oct 26 17:45:45 UTC 2025","passed","Sun Oct 26 17:45:46 UTC 2025","com.bookstore.tests.AuthorsApiTest","Authors API Tests","com.bookstore.tests.AuthorsApiTest","testGetAuthorById_NonExistentId"
"Test boundary condition with very long title (1000 characters)","612","Verify creating book with very long title","Bookstore API Test Suite","Sun Oct 26 17:45:35 UTC 2025","passed","Sun Oct 26 17:45:36 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_VeryLongTitle"
"Test to verify book object has all required fields with correct data types","626","Verify book data structure integrity","Bookstore API Test Suite","Sun Oct 26 17:45:39 UTC 2025","passed","Sun Oct 26 17:45:40 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testGetBookById_DataStructureValidation"
"Test to verify POST /api/v1/Books creates a new book and returns 200 status","787","Verify that a new book can be created successfully","Bookstore API Test Suite","Sun Oct 26 17:45:21 UTC 2025","passed","Sun Oct 26 17:45:21 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_ValidData_Success"
"Test to verify POST /api/v1/Books with null title (field omitted from JSON) should return 400","618","Verify creating book with null/missing title","Bookstore API Test Suite","Sun Oct 26 17:45:27 UTC 2025","failed","Sun Oct 26 17:45:28 UTC 2025","com.bookstore.tests.BooksApiTest","Books API Tests","com.bookstore.tests.BooksApiTest","testCreateBook_NullTitle"
